name,desc,size,price,url
Seagull Sunset,"A sunrise silhouettes a seagull on its perch.  Taken on Horseneck Beach, MA.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604cf7e4b0e6b1f4e098c9/1449151759600/1107+%284%29.JPG?format=1000w
A Burst of Spring,"A rhododendron blossoms with the arrival of spring.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604cf7e4b084db7b9fa35d/1449151939898/DSC_0032+%282%29.JPG?format=1000w
Anticipated Kidnapping,"In the midst of a road trip through Virginia, I decided to take a detour to avoid some construction on the highway. I was met with dense fog like sheets of floating plastic wrap. After weaving through rural farms with dark forms of giant cows looming over the road, I creeped into a foreboding Virginia State Forest. The afternoon light diffused through the treetops opaque, yet oddly clear. As a red van emerged through the haze I knew I had my picture. Feeling a bit like Icabod Crane, I drove off deciding I had pressed my luck far enough. One never knows what's lurking in the murky woods.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604d27e4b0e6b1f4e09a40/1449151802227/DSC_0050+%282%29.JPG?format=750w
Bone and Buddha,"Ivy vine, Buddha and Fisher Cat skull come together for this still life.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604d36e4b0e6b1f4e09aca/1449151813471/DSC_0077+%282%29.JPG?format=1000w
Fire Fighting 1,"As a wildfire sears across the grasslands, a Ghanian farmer uses cut tree branches to fend off the flames threatening his maize.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604d41e4b0e6b1f4e09b10/1449151838382/DSC_0182+-+Copy+%285%29.JPG?format=1000w
Fire Fighting 2,"As flames quickly consume the tall grasses, a man struggles to save his maize farm. With the addition of flames, the searing heat of the grasslands is almost unbearable. However, the fire must be abated so his family can eat.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604dace4b0e6b1f4e09d9d/1449151926116/DSC_0200+-+Copy+%283%29.JPG?format=1000w
Fire Fighting 3,"Armed with machetes and tree clippings, children watch helplessly as the flames burn ever closer to the village farmlands.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604df7e4b0e6b1f4e09fea/1449152002515/DSC_0705+%282%29.JPG?format=1000w
Moon Fire,"Late night flames warmly paint the tree yellow, while the moon shines a cool blue through the smoke.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604dbee4b0e6b1f4e09e3b/1449151958335/DSC_0342+-+Copy+%283%29.jpg?format=1000w
Gnarled Tree,"Taken on Whitsunday's Island, Australia.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604fabe4b084db7b9fb661/1449152604192/DSC_0425+%283%29.JPG?format=1000w
Unexpected Color,"While wandering through the grasslands of northern Ghana, this plant shined bright red against the shades of red-brown dirt, and pale yellow grasses.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604dd1e4b0e6b1f4e09ecb/1449151957625/DSC_0501+%282%29.JPG?format=500w
